time_s,Chassis,Chassis CPU,CRPS 0,CRPS 1,CRPS 2,FEM 0,FEM 1,FEM 2,FEM 3,FEM 4,FEM 5,FEM 6,FEM 7
0.16814613342285156,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
1.3322761058807373,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
2.4283337593078613,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
3.529625177383423,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
4.6286280155181885,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
5.955875635147095,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
7.055932521820068,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
8.149877786636353,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
9.24785304069519,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
10.347911357879639,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
11.445014476776123,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
12.532093286514282,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
13.618518114089966,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
14.737572431564331,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
15.847865343093872,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
16.946110010147095,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
18.03297758102417,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
19.132508277893066,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
20.222038984298706,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
21.312687158584595,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
22.41326093673706,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
23.500897884368896,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
24.598869562149048,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
25.7001736164093,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
26.795612812042236,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
27.898964166641235,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
28.99896240234375,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
30.093406915664673,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
31.183372974395752,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
32.27981877326965,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
33.37358903884888,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
34.48559069633484,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
35.715813398361206,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
36.81486797332764,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
37.91822862625122,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
39.01140284538269,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
40.12462258338928,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
41.22006940841675,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
42.31696367263794,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
43.41536021232605,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
44.51191806793213,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
45.59869074821472,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
46.69834303855896,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
47.79893732070923,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
48.89750146865845,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
49.99475288391113,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
51.093682289123535,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
52.176722288131714,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
53.274168729782104,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
54.36706471443176,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
55.46376943588257,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
56.54973316192627,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
57.64188480377197,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
58.74920725822449,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
59.84660267829895,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
60.93089938163757,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
62.02184581756592,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
63.112659215927124,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
64.20253348350525,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
65.28428888320923,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
66.40061640739441,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
67.50009727478027,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
68.59920573234558,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
69.69179558753967,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
70.78210759162903,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
71.87837767601013,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
72.96574020385742,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
74.06558966636658,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
75.16605281829834,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
76.26569080352783,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
77.35779929161072,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
78.44992971420288,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
79.54225373268127,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
80.64610958099365,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
81.74914050102234,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
82.83414077758789,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
83.92595219612122,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
85.0163357257843,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
86.09992170333862,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
87.18369698524475,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
88.28408241271973,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
89.3794379234314,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
90.47385430335999,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
91.56824898719788,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
92.6655375957489,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
93.75117444992065,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
94.84634971618652,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
95.9935712814331,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
97.07816457748413,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
98.17405557632446,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
99.28220772743225,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
100.3750524520874,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
101.45674777030945,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
102.55313348770142,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
103.63341450691223,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
104.73212885856628,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
105.82993817329407,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
106.93269634246826,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
108.03107833862305,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
109.13382887840271,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
110.23260021209717,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
111.31780767440796,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
112.41377019882202,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
113.51609396934509,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
114.61345434188843,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
115.70990109443665,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
116.79954981803894,44.95961751369015,45.85,42.375,0.0,0.0,0.0,0.0,0.0,55.66354093046874,0.0,61.116190775195264,0.0,0.0
